####################
## BD Rhapsody Sequence Analysis Pipeline Version 2.0rc1
## Analysis Date - Sat May 27 2023 17:22:38 GMT+0000 (Coordinated Universal Time)
## Libraries - 16HIRP - Bead version detected: Enhanced
## References - BD_Rhapsody_Immune_Response_Panel_Hs.fasta
## Parameters - Sample Tag Version: None | Sample Tag Names:  | VDJ Version: None | Putative Cell Calling Type: mRNA | Refined Putative Cell Calling: On | Exclude Intronic Reads: Off | Generate Bam: Off | Exact Cell Count: None | Expected Cell Count: None
####################
Bioproduct,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Reads_non-singleton,RSEC_Adjusted_Molecules_non-singleton,RSEC_Adjusted_Seq_Depth,DBEC_Adjusted_Reads,DBEC_Adjusted_Molecules,DBEC_Minimum_Depth,DBEC_Adjusted_Seq_Depth,DBEC_Depth_Status
HLA-DPA1,1258014,149000,8.44,129701,1250111,121798,9.7,1154539,95285,5.887008266314327,12.12,pass
HLA-DQB1,456503,43232,10.56,37049,454250,34796,12.32,434840,29283,5.934299519529964,14.85,pass
HLA-DRA,3733595,400554,9.32,347288,3713762,327455,10.75,3486571,264025,5.461326854645106,13.21,pass
HMMR,1578,178,8.87,157,1553,132,10.05,1496,113,4.591917694407453,13.24,pass
ICAM1,82334,8594,9.58,7493,81695,6854,10.99,77020,5502,5.294227101604213,14.0,pass
ICOS,16288,1555,10.47,1345,16199,1256,12.11,15496,1063,5.3794649823956515,14.58,pass
IER3,115448,18759,6.15,17310,112610,14472,6.67,98539,9640,4.924780705661989,10.22,pass
IFITM2,438280,66842,6.56,61275,432106,55101,7.15,360778,34670,5.61601382262196,10.41,pass
IFITM3,284617,53917,5.28,50520,269954,35857,5.63,198966,13938,6.41117414395514,14.28,pass
IFNA1,29,4,7.25,4,28,3,7.25,28,3,2.715986800468615,9.33,pass
IFNG,41403,4040,10.25,3506,41172,3275,11.81,40033,2895,4.969462348897261,13.83,pass
IFNGR1,323870,35064,9.24,31049,321656,28835,10.43,289862,20982,6.881281291161898,13.81,pass
IGBP1,124912,14579,8.57,12874,124049,12011,9.7,118111,10046,4.739178810092525,11.76,pass
IGHA1_secreted,571680,90979,6.28,66021,562970,57311,8.66,470016,32731,6.763839582225888,14.36,pass
IGHD_membrane,76183,7086,10.75,6039,75768,5624,12.62,71190,4460,6.120318809201682,15.96,pass
IGHE_secreted,79,27,2.93,26,71,18,3.04,79,26,0,3.04,low_depth
IGHG1_membrane,155,35,4.43,31,150,26,5.0,87,7,7.8840337188159335,12.43,pass
IGHG1_secreted,131459,62268,2.11,44773,112322,25636,2.94,51508,5296,5.1227900895930425,9.73,pass
IGHG2_secreted,114,44,2.59,43,93,22,2.65,33,3,5.179172054255463,11.0,pass
IGHG3_secreted,662,467,1.42,464,305,107,1.43,662,464,0,1.43,low_depth
IGHG4_secreted,33811,6929,4.88,3973,33450,3612,8.51,30721,2724,4.128729759082674,11.28,pass
IGHM_membrane,218560,25273,8.65,22157,215741,19338,9.86,199281,14410,5.523528954808802,13.83,pass
IGHM_secreted,69658,20608,3.38,16884,65603,12829,4.13,52392,7462,3.9028867518534947,7.02,pass
IGKC,8214231,685827,11.98,375245,8196761,357775,21.89,7358673,261164,12.812997660489405,28.18,pass
IGLC3,6440116,491163,13.11,279249,6424825,263958,23.06,6411279,258430,3.7640938301970754,24.81,pass
IKZF1,79706,12001,6.64,10964,78418,9676,7.27,69789,6772,4.042499320672345,10.31,pass
IKZF2,7075,1084,6.53,988,6962,875,7.16,5827,538,5.146459462133433,10.83,pass
IL12A,2157,268,8.05,249,2126,218,8.66,1914,157,5.238505585542598,12.19,pass
IL12RB1,33253,3799,8.75,3279,33030,3056,10.14,31668,2601,4.891822378770447,12.18,pass
IL12RB2,2514,379,6.63,351,2476,313,7.16,2219,220,4.726985571931373,10.09,pass
IL13,199,20,9.95,19,197,17,10.47,197,17,3.274102276425754,11.59,pass
IL15,30940,3351,9.23,2912,30745,2717,10.62,28626,2123,5.0485288519771165,13.48,pass
IL15RA,20875,2253,9.27,1959,20740,1824,10.66,19410,1438,5.269125240145092,13.5,pass
IL17A,0,0,0,0,0,0,0,0,0,0,0,not_detected
IL17F,16,3,5.33,3,15,2,5.33,13,1,6.700149023981017,13.0,pass
IL18,51052,5700,8.96,5022,49876,3846,10.17,48010,3153,4.980005207398218,15.23,pass
IL18R1,23006,2521,9.13,2201,22845,2040,10.45,21384,1641,5.61601382262196,13.03,pass
IL18RAP,25268,2577,9.81,2241,25127,2100,11.28,23836,1740,5.099784108588501,13.7,pass
IL1B,94288,10359,9.1,9213,93603,8528,10.23,89617,7212,4.827207355368433,12.43,pass
IL1R2,4248,503,8.45,434,4214,400,9.79,3866,304,5.037783585148287,12.72,pass
IL1RL1,7,3,2.33,3,5,1,2.33,5,1,3.524121162044527,5.0,pass
IL1RN,43834,5663,7.74,5078,43385,4629,8.63,40400,3635,4.223081386844147,11.11,pass
IL2,337,34,9.91,29,333,25,11.62,323,22,5.037574466719044,14.68,pass
IL21,50,3,16.67,2,50,2,25.0,50,2,0,25.0,pass
IL22,57,13,4.38,12,55,10,4.75,55,10,2.337275655700949,5.5,pass
IL23R,48122,19083,2.52,18673,38893,9444,2.58,17472,1869,5.373554094495078,9.35,pass
IL25,0,0,0,0,0,0,0,0,0,0,0,not_detected
IL2RA,3806,583,6.53,530,3760,484,7.18,3573,408,3.7852775941692007,8.76,pass
IL2RB,267341,25787,10.37,22292,266148,21099,11.99,255364,18108,5.3877523875762305,14.1,pass
IL3,0,0,0,0,0,0,0,0,0,0,0,not_detected
IL31,0,0,0,0,0,0,0,0,0,0,0,not_detected
IL32,1286839,181897,7.07,163173,1274003,150337,7.89,1106217,104019,5.013508224649272,10.63,pass
IL33,0,0,0,0,0,0,0,0,0,0,0,not_detected
