####################
## BD Rhapsody Sequence Analysis Pipeline Version 2.0rc1
## Analysis Date - Sat May 27 2023 17:22:38 GMT+0000 (Coordinated Universal Time)
## Libraries - 16HIRP - Bead version detected: Enhanced
## References - BD_Rhapsody_Immune_Response_Panel_Hs.fasta
## Parameters - Sample Tag Version: None | Sample Tag Names:  | VDJ Version: None | Putative Cell Calling Type: mRNA | Refined Putative Cell Calling: On | Exclude Intronic Reads: Off | Generate Bam: Off | Exact Cell Count: None | Expected Cell Count: None
####################
Bioproduct,Raw_Reads,Raw_Molecules,Raw_Seq_Depth,RSEC_Adjusted_Molecules,RSEC_Adjusted_Reads_non-singleton,RSEC_Adjusted_Molecules_non-singleton,RSEC_Adjusted_Seq_Depth,DBEC_Adjusted_Reads,DBEC_Adjusted_Molecules,DBEC_Minimum_Depth,DBEC_Adjusted_Seq_Depth,DBEC_Depth_Status
TARP_refseq,40717,17345,2.35,17007,33352,9642,2.39,40717,17007,0,2.39,low_depth
TBX21,89392,9748,9.17,8644,88730,7982,10.34,82836,6303,5.675208375341026,13.14,pass
TCF4,1714,492,3.48,473,1490,249,3.62,1013,89,5.776143799760003,11.38,pass
TCF7,19614,3331,5.89,3076,19225,2687,6.38,15331,1557,5.776143799760003,9.85,pass
TCL1A,39996,4846,8.25,4306,38958,3268,9.29,37437,2730,4.707056595286193,13.71,pass
TGFB1,4840,682,7.1,606,4757,523,7.99,4318,373,4.915679100097244,11.58,pass
TGFB3,4822,439,10.98,380,4800,358,12.69,4472,283,6.177199970850233,15.8,pass
TGFBI,871658,87903,9.92,76289,866755,71386,11.43,823599,59226,5.125326109349157,13.91,pass
THBD,2445,233,10.49,197,2430,182,12.41,2378,164,4.726985571931373,14.5,pass
THBS1,32056,3691,8.68,3281,31707,2932,9.77,29087,2162,5.486563598629963,13.45,pass
TIAF1,144982,13239,10.95,11176,144226,10420,12.97,137294,8721,6.067187173212883,15.74,pass
TIGIT,15559,2237,6.96,2038,15290,1769,7.63,13888,1294,4.853024680612617,10.73,pass
TLR2,214187,24981,8.57,21996,212079,19888,9.74,193801,14578,5.486563598629963,13.29,pass
TLR7,18357,1989,9.23,1757,18227,1627,10.45,17076,1298,5.198088355436088,13.16,pass
TLR8,98435,12828,7.67,11537,97751,10853,8.53,91329,8780,4.591917694407453,10.4,pass
TLR9,505,145,3.48,138,464,97,3.66,299,38,4.701869624999909,7.87,pass
TMEM97,6520,717,9.09,622,6444,546,10.48,6089,439,5.212654937283456,13.87,pass
TNF,140707,13460,10.45,11610,140030,10933,12.12,134241,9315,5.42351359864085,14.41,pass
TNFRSF13C,490,127,3.86,120,457,87,4.08,331,41,4.871867916011842,8.07,pass
TNFRSF17,15502,2188,7.09,1969,15354,1821,7.87,14177,1432,4.436656929357529,9.9,pass
TNFRSF25,5077,1347,3.77,1255,4731,909,4.05,3875,562,3.7743313957855227,6.9,pass
TNFRSF4,476,97,4.91,86,456,66,5.53,391,42,4.345984671689345,9.31,pass
TNFRSF8,45042,4368,10.31,3662,44845,3465,12.3,43098,2979,5.3247166888585955,14.47,pass
TNFRSF9,159,21,7.57,17,156,14,9.35,156,14,4.774416444309295,11.14,pass
TNFSF10,475297,38908,12.22,32456,473088,30247,14.64,457426,26377,6.376707094477814,17.34,pass
TNFSF13,330361,31455,10.5,26863,328538,25040,12.3,314010,20893,5.611267538477941,15.03,pass
TNFSF13B,169140,20783,8.14,18600,167748,17208,9.09,143469,11222,6.3163657000230815,12.78,pass
TNFSF14,4118,485,8.49,426,4090,398,9.67,3900,339,4.302985219817345,11.5,pass
TNFSF8,84954,8734,9.73,7504,84286,6836,11.32,80716,5784,5.433403519416037,13.96,pass
TOP2A,6714,777,8.64,688,6565,539,9.76,6412,487,4.328100609027315,13.17,pass
TPSAB1,44,13,3.38,13,39,8,3.38,27,4,4.214761730607157,6.75,pass
TRAC,752496,100657,7.48,90927,746489,84920,8.28,720763,74785,3.6675400586678575,9.64,pass
TRAT1,14024,3902,3.59,3761,12931,2668,3.73,9660,1314,3.965962085771014,7.35,pass
TRBC2,1783799,154902,11.52,129861,1776602,122664,13.74,1730578,109667,5.780684123653938,15.78,pass
TRDC,150399,12809,11.74,10988,149688,10277,13.69,145711,9162,5.887008266314327,15.9,pass
TREM1,61382,8070,7.61,7210,60803,6631,8.51,56983,5365,4.263699820963576,10.62,pass
TRIB2,63601,6858,9.27,5983,63168,5550,10.63,57411,4153,6.6636164822703385,13.82,pass
TSPAN32,90366,11615,7.78,10194,88830,8658,8.86,80790,6164,5.555923207995616,13.11,pass
TXK,33623,4165,8.07,3687,33340,3404,9.12,31407,2769,4.997131845951166,11.34,pass
TYMS,4234,819,5.17,745,4093,604,5.68,3739,462,3.972826186718944,8.09,pass
UBE2C,1542,411,3.75,401,1448,307,3.85,1134,180,3.312853383296751,6.3,pass
VEGFA,40528,5571,7.27,5029,40047,4548,8.06,34858,3071,5.517988104115536,11.35,pass
VMO1,14020,1229,11.41,1017,13962,959,13.79,13545,842,5.486563598629963,16.09,pass
VNN2,216007,29788,7.25,26869,213803,24665,8.04,204824,21071,3.9266595190917175,9.72,pass
VPREB3,16432,1602,10.26,1376,16330,1274,11.94,15694,1099,5.72548485950572,14.28,pass
VPS28,246292,23084,10.67,19711,245035,18454,12.5,235090,15644,5.790705887246095,15.03,pass
VSIG4,27460,2795,9.82,2398,27330,2268,11.45,25406,1810,6.384473769742152,14.04,pass
XBP1,58092,14285,4.07,13395,55388,10691,4.34,33038,3937,5.732908874317774,8.39,pass
YBX3,198089,29464,6.72,27116,195546,24573,7.31,164520,15855,5.555923207995616,10.38,pass
ZAP70,6376,1336,4.77,1247,6099,970,5.11,4855,531,4.589558524738045,9.14,pass
ZBED2,272,26,10.46,23,272,23,11.83,272,23,0,11.83,pass
ZBTB16,2580,1129,2.29,1102,2036,558,2.34,2580,1102,0,2.34,low_depth
ZNF683,4031,1557,2.59,1519,3506,994,2.65,4031,1519,0,2.65,low_depth
